Source,Target,Type
1,2,Directed
1,3,Directed
1,4,Directed
1,5,Directed
1,6,Directed
7,8,Directed
7,4,Directed
7,9,Directed
7,10,Directed
7,11,Directed
12,13,Directed
12,14,Directed
12,3,Directed
12,4,Directed
12,2,Directed
15,2,Directed
15,3,Directed
15,4,Directed
15,5,Directed
15,6,Directed
16,17,Directed
16,2,Directed
16,3,Directed
16,4,Directed
16,6,Directed
18,2,Directed
18,3,Directed
18,4,Directed
18,5,Directed
18,6,Directed
19,20,Directed
19,21,Directed
19,15,Directed
19,22,Directed
19,23,Directed
24,2,Directed
24,3,Directed
24,25,Directed
24,4,Directed
24,5,Directed
26,27,Directed
26,4,Directed
26,28,Directed
26,29,Directed
26,3,Directed
26,27,Directed
26,4,Directed
26,28,Directed
26,29,Directed
26,3,Directed
30,2,Directed
30,3,Directed
30,6,Directed
30,5,Directed
30,25,Directed
31,32,Directed
31,33,Directed
31,34,Directed
31,35,Directed
31,36,Directed
37,2,Directed
37,3,Directed
37,4,Directed
37,5,Directed
37,6,Directed
38,2,Directed
38,3,Directed
38,4,Directed
38,5,Directed
38,6,Directed
39,2,Directed
39,3,Directed
39,4,Directed
39,5,Directed
39,6,Directed
40,2,Directed
40,3,Directed
40,4,Directed
40,5,Directed
40,6,Directed
41,2,Directed
41,3,Directed
41,4,Directed
41,5,Directed
41,6,Directed
42,2,Directed
42,3,Directed
42,43,Directed
42,44,Directed
42,45,Directed
46,2,Directed
46,3,Directed
46,4,Directed
46,5,Directed
46,6,Directed
47,2,Directed
47,5,Directed
47,3,Directed
47,4,Directed
47,6,Directed
48,17,Directed
48,49,Directed
48,4,Directed
48,50,Directed
48,51,Directed
52,53,Directed
52,54,Directed
52,22,Directed
52,55,Directed
52,56,Directed
57,58,Directed
57,59,Directed
57,60,Directed
57,61,Directed
57,62,Directed
63,64,Directed
63,65,Directed
63,66,Directed
63,67,Directed
63,68,Directed
69,2,Directed
69,3,Directed
69,14,Directed
69,13,Directed
69,4,Directed
70,2,Directed
70,3,Directed
70,6,Directed
70,13,Directed
70,4,Directed
71,66,Directed
71,72,Directed
71,73,Directed
71,4,Directed
71,9,Directed
74,2,Directed
74,3,Directed
74,4,Directed
74,6,Directed
74,5,Directed
75,2,Directed
75,3,Directed
75,4,Directed
75,6,Directed
75,5,Directed
76,2,Directed
76,3,Directed
76,4,Directed
76,77,Directed
76,72,Directed
78,59,Directed
78,3,Directed
78,79,Directed
78,80,Directed
78,81,Directed
82,83,Directed
82,84,Directed
82,85,Directed
82,86,Directed
82,17,Directed
87,88,Directed
87,89,Directed
87,90,Directed
87,91,Directed
87,92,Directed
93,94,Directed
93,95,Directed
93,96,Directed
93,97,Directed
93,98,Directed
99,94,Directed
99,95,Directed
99,96,Directed
99,97,Directed
99,98,Directed
100,101,Directed
100,11,Directed
100,102,Directed
100,17,Directed
100,2,Directed
103,2,Directed
103,3,Directed
103,5,Directed
103,4,Directed
103,6,Directed
104,2,Directed
104,64,Directed
104,23,Directed
104,105,Directed
104,106,Directed
107,2,Directed
107,3,Directed
107,5,Directed
107,4,Directed
107,6,Directed
108,2,Directed
108,3,Directed
108,5,Directed
108,4,Directed
108,6,Directed
109,110,Directed
109,111,Directed
109,112,Directed
109,113,Directed
109,114,Directed
115,116,Directed
115,117,Directed
115,118,Directed
115,119,Directed
115,120,Directed
121,2,Directed
121,3,Directed
121,4,Directed
121,25,Directed
121,17,Directed
122,123,Directed
122,72,Directed
122,29,Directed
122,124,Directed
122,125,Directed
126,22,Directed
126,110,Directed
126,9,Directed
126,127,Directed
126,128,Directed
